year,district,A1101,A1102,A1414,A2101,A210102,B1101,B1103,C120110,D2201,D320101,D320108,D320113,D320115,D320122,D320406
2017,奈良県第３区,429371,426133,378710,432012,226262,302090,44364,500210001,0.2777272727272727,47878619,67836533,29193656,12390431,202393,27497063
2017,宮城県第１区,537038,520644,460721,511617,265427,53063,16576,804930696.8792713,0.91,92174995.37641677,13502206.007860254,36088407.993528314,11148148.530705158,285292.3704276742,28250133.043531947
2017,宮城県第２区,545121,527171,448512,534787,273643,25566,17597,841384224.1207287,0.91,96349396.62358324,14113690.992139747,37722772.006471686,11653023.469294842,298212.6295723258,29529518.95646806
2017,宮城県第３区,571297,564013,491822,568211,289731,207659,80650,760581788.5874127,0.5314285714285715,83581454.736316,55986853.57374303,47036269.728949815,15710581.298706809,364999.59593331063,74669929.81023008
2017,宮城県第４区,287289,285342,245305,289921,146736,100008,37003,369678918,0.6122222222222222,36180889,28133501,18792377,6422965,200428,32742027
2017,宮城県第５区,403156,400453,353259,403761,206450,197413,94094,442851223,0.48444444444444446,48569956,97515376,90647296,23551332,205086,165747805
2017,宮城県第６区,350244,348001,307657,349893,179231,247029,114065,365592191,0.4,37276213,77695834,44164414,13671320,121579,121668396
2017,宮崎県第１区,428089,423628,362142,429963,227305,86949,36362,511787952,0.4666666666666667,55336217,30146675,35300648,14103248,238149,19838760
2017,宮崎県第２区,337619,336749,291869,341952,178884,433991,70459,321646125,0.334375,37970681,59966086,30216642,16126771,143831,27877804
2017,宮崎県第３区,338361,336030,291508,342637,180915,252592,78167,321856114,0.3628571428571429,35966631,53110420,28783205,14833356,148330,22963563
2017,富山県第１区,418686,413600,363564,412493,212022,124177,47076,615231967,0.8,72347858,17547407,21320577,10070165,239482,20177059
2017,富山県第２区,623177,616477,542271,617346,317880,276834,118434,899684130,0.5566666666666666,103769251,40516191,30499341,16638811,334595,33480635
2017,富山県第３区,443151,435876,386173,442585,228695,147930,65851,586859462,0.5566666666666666,63348053,49245643,21576093,13176318,204190,36717093
2017,山口県第１区,458206,454540,395148,453657,235436,186889,48363,605313119,0.7533333333333333,69288541,28080788,25815349,12675724,272997,25375008
2017,山口県第２区,476127,471469,414952,476980,248972,211990,57138,607156287,0.538,71921101,48353777,34673616,13524367,262128,32625736
2017,山口県第３区,508704,504306,443168,500337,263075,272987,71356,632645825,0.48,68998939,53301819,30405207,15526210,244922,27180250
2017,山口県第４区,303956,299824,267890,300533,160713,107322,33052,361845302,0.44,37234627,35790744,20959001,9707869,134617,15615541
2017,山形県第１区,373327,370706,324313,367141,190722,82784,37713,478503019,0.522,49841933,21604924,18495788,9572626,218010,18484900
2017,山形県第２区,393172,390742,344597,389414,199291,428679,121650,426903042,0.3458823529411765,44691958,66698445,22512259,14886048,181204,28203185
2017,山形県第３区,357392,355304,314779,355683,185495,420851,129116,384377857,0.2830769230769231,39863699,68963904,20947996,14926098,125565,26282833
2017,山梨県第１区,517530,505619,446811,511233,260133,239549,56661,679639359,0.5316666666666667,73462193,55309915,28053046,14870741,273118,27698911
2017,山梨県第２区,317400,313586,276578,319029,162504,206508,38777,416085433,0.57,47046116,42192664,19125344,9188462,133791,27988266
